Job,Housing,Credit amount,Duration,Purpose,Risk,CustomerID
1,own,4139,24,business,good,C7087447
2,own,5742,36,business,good,C3836532
3,own,10366,60,car,good,C2426229
2,own,2080,6,car,good,C5552136
1,own,2580,21,business,bad,C3922566
3,rent,4530,30,radio/TV,good,C4712744
2,own,5150,24,furniture/equipment,good,C4637928
2,own,5595,72,radio/TV,bad,C6563432
1,rent,2384,24,radio/TV,good,C5121835
2,own,1453,18,radio/TV,good,C2633524
2,own,1538,6,education,good,C3780323
2,free,2279,12,radio/TV,good,C6412646
2,own,1478,15,radio/TV,good,C7536882
2,free,5103,24,radio/TV,good,C8417988
1,own,9857,36,business,good,C5557859
2,free,6527,60,car,good,C5326187
2,own,1347,10,radio/TV,good,C8266116
2,free,2862,36,car,good,C7125117
2,own,2753,9,radio/TV,good,C3444149
2,own,3651,12,car,good,C8421053
2,own,975,15,furniture/equipment,good,C4831249
1,own,2631,15,repairs,good,C8242550
2,own,2896,24,radio/TV,good,C5746364
1,own,4716,6,car,good,C7534934
2,own,2284,24,radio/TV,good,C5692415
2,rent,1236,6,car,good,C4515836
2,own,1103,12,radio/TV,good,C7510670
0,own,926,12,car,good,C7617935
2,own,1800,18,radio/TV,good,C2227989
3,rent,1905,15,education,good,C6425619
1,rent,1123,12,furniture/equipment,bad,C1427982
2,free,6331,48,car,bad,C3522356
2,free,1377,24,radio/TV,good,C2526082
2,own,2503,30,business,good,C1116934
2,own,2528,27,business,good,C4920431
2,free,5324,15,car,good,C7431136
2,own,6560,48,car,bad,C8913315
2,rent,2969,12,furniture/equipment,bad,C7183218
2,own,1206,9,radio/TV,good,C2372829
1,own,2118,9,radio/TV,good,C8730660
3,own,629,18,radio/TV,good,C9039454
2,free,1198,6,education,bad,C5742039
3,own,2476,21,car,good,C8512329
1,own,1138,9,radio/TV,good,C3037273
3,own,14027,60,car,bad,C2139120
2,own,7596,30,car,good,C4933192
2,own,3077,30,radio/TV,good,C3983085
3,free,1505,18,radio/TV,good,C5022360
2,own,3148,24,radio/TV,good,C2019751
2,own,6148,20,car,good,C9047255
3,own,1337,9,radio/TV,bad,C6634445
2,rent,433,6,education,bad,C8144011
1,own,1228,12,car,bad,C1411017
1,own,790,9,radio/TV,good,C2610215
2,rent,2570,27,car,bad,C2354936
1,own,250,6,car,good,C4225054
1,own,1316,15,radio/TV,good,C8819925
2,rent,1882,18,radio/TV,bad,C5623519
2,rent,6416,48,business,bad,C5352328
2,own,1275,24,business,good,C8233532
2,own,6403,24,radio/TV,good,C3711332
1,rent,1987,24,radio/TV,bad,C1136669
1,own,760,8,radio/TV,good,C7011761
2,rent,2603,24,car,good,C3033424
2,own,3380,4,car,good,C9022544
0,own,3990,36,domestic appliances,good,C6038948
3,rent,11560,24,car,bad,C6290081
1,own,4380,18,car,good,C6242290
3,own,6761,6,car,good,C6417677
1,rent,4280,30,business,bad,C7916826
2,own,2325,24,car,good,C7735483
1,own,1048,10,radio/TV,good,C5013132
2,own,3160,21,radio/TV,good,C6718635
2,own,2483,24,furniture/equipment,good,C2037424
3,own,14179,39,furniture/equipment,good,C8321043
1,own,1797,13,business,good,C7815134
2,rent,2511,15,car,good,C4726923
1,own,1274,12,car,bad,C5027957
2,own,5248,21,car,good,C4021767
2,own,3029,15,car,good,C5012019
2,own,428,6,furniture/equipment,good,C2529791
1,own,976,18,car,bad,C2867356
1,rent,841,12,business,good,C3036742
2,own,5771,30,radio/TV,good,C4214568
2,free,1555,12,repairs,bad,C4625557
2,rent,1285,24,car,bad,C6541152
0,own,1299,6,car,good,C6136135
2,free,1271,15,radio/TV,bad,C3116580
2,own,1393,24,car,good,C8429934
2,own,691,12,car,bad,C6917320
2,own,5045,15,car,good,C8019368
2,rent,2124,18,furniture/equipment,bad,C4714257
1,own,2214,12,radio/TV,good,C1539088
3,free,12680,21,car,bad,C6334358
2,own,2463,24,car,good,C2233666
1,own,1155,12,radio/TV,good,C2130831
1,own,3108,30,furniture/equipment,bad,C1525579
2,rent,2901,10,car,good,C9031569
2,rent,3617,12,furniture/equipment,good,C5926924
1,own,1655,12,radio/TV,good,C7948122
2,rent,2812,24,car,good,C6180991
3,own,8065,36,education,bad,C6721738
3,own,3275,21,car,good,C5418446
2,own,2223,24,radio/TV,good,C6810386
0,free,1480,12,car,good,C1817815
2,rent,1371,24,car,bad,C8620855
2,own,3535,36,car,good,C8036083
2,own,3509,18,radio/TV,good,C3748058
3,own,5711,36,car,good,C7019737
2,own,3872,18,repairs,good,C1041911
2,own,4933,39,radio/TV,bad,C5541281
2,own,1940,24,car,good,C8641545
1,own,1410,12,education,good,C7333287
1,own,836,12,car,bad,C2440349
3,own,6468,20,car,good,C1429337
1,own,1941,18,business,good,C8052823
2,own,2675,22,radio/TV,good,C2563367
2,own,2751,48,car,good,C7029226
2,free,6224,48,education,bad,C4622437
2,own,5998,40,education,bad,C7351132
2,own,1188,21,business,bad,C5740087
3,own,6313,24,car,good,C8612219
2,own,1221,6,furniture/equipment,good,C3140651
2,free,2892,24,furniture/equipment,good,C4614835
2,rent,3062,24,furniture/equipment,good,C7930241
2,rent,2301,9,furniture/equipment,good,C8529476
2,free,7511,18,car,bad,C2638351
1,rent,1258,12,furniture/equipment,good,C5519788
2,own,717,24,car,good,C5744479
0,own,1549,9,car,good,C7535646
2,free,1597,24,education,good,C3026842
1,rent,1795,18,radio/TV,good,C6812532
2,own,4272,20,furniture/equipment,good,C5615930
2,own,976,12,radio/TV,good,C5826384
0,rent,7472,12,car,good,C2930972
2,own,9271,36,car,bad,C3125273
1,own,590,6,radio/TV,good,C2615444
2,own,930,12,radio/TV,good,C5642335
3,free,9283,42,car,good,C3022532
0,rent,1778,15,car,bad,C4021562
2,own,907,8,business,good,C7323936
1,own,484,6,radio/TV,good,C1172085
2,own,9629,36,car,bad,C3936857
2,own,3051,48,domestic appliances,bad,C8326489
2,free,3931,48,car,bad,C5292626
2,rent,7432,36,car,good,C4382821
2,own,1338,6,domestic appliances,good,C1793418
2,rent,1554,6,radio/TV,good,C3347632
3,own,15857,36,vacation/others,good,C3028382
2,own,1345,18,radio/TV,bad,C8823938
2,own,1101,12,car,good,C2377483
2,own,3016,12,radio/TV,good,C7513487
2,own,2712,36,furniture/equipment,bad,C8266145
1,own,731,8,car,good,C6067657
3,own,3780,18,furniture/equipment,good,C8211883
2,own,1602,21,car,good,C1641813
2,rent,3966,18,car,bad,C2738538
2,own,4165,18,business,bad,C4215344
2,free,8335,36,car,bad,C7952240
2,free,6681,48,business,good,C6231073
2,own,2375,24,business,good,C4122691
2,rent,1216,18,car,bad,C3214234
2,rent,11816,45,business,bad,C7314411
2,own,5084,24,radio/TV,good,C4541954
1,own,2327,15,radio/TV,bad,C7224445
2,own,1082,12,car,bad,C4115773
2,own,886,12,radio/TV,good,C7430369
1,rent,601,4,furniture/equipment,good,C8036151
2,own,2957,24,car,good,C1321833
2,own,2611,24,radio/TV,good,C4417069
2,own,5179,36,furniture/equipment,bad,C7570456
1,own,2993,21,car,good,C5320820
2,own,1943,18,repairs,bad,C5938936
2,own,1559,24,business,good,C1229090
2,own,3422,18,furniture/equipment,good,C6916731
2,own,3976,21,furniture/equipment,good,C1218924
2,rent,6761,18,car,bad,C1117226
2,own,1249,24,car,good,C7591082
2,own,1364,9,radio/TV,good,C7138448
1,own,709,12,radio/TV,bad,C1822543
2,rent,2235,20,car,bad,C7119728
2,own,4042,24,car,good,C2939821
2,free,1471,15,radio/TV,good,C6141082
1,free,1442,18,car,bad,C8030634
2,own,10875,36,car,good,C3027918
2,own,1474,24,car,good,C5124535
2,own,894,10,education,good,C7412939
2,free,3343,15,furniture/equipment,good,C5140415
2,own,3959,15,car,bad,C3641321
2,rent,3577,9,car,good,C8321571
2,own,5804,24,car,good,C2710379
2,own,2169,18,business,bad,C7732335
2,own,2439,24,radio/TV,bad,C4212770
1,own,4526,27,furniture/equipment,good,C8619142
1,rent,2210,10,furniture/equipment,bad,C5019231
2,rent,2221,15,furniture/equipment,good,C5525122
2,own,2389,18,radio/TV,good,C3198272
2,own,3331,12,furniture/equipment,good,C1224269
2,own,7409,36,business,good,C5418013
2,rent,652,12,furniture/equipment,good,C2811448
2,own,7678,36,furniture/equipment,good,C7624788
2,own,1343,6,car,good,C7654126
2,own,1382,24,business,good,C1727873
2,own,874,15,domestic appliances,good,C3942861
1,own,3590,12,furniture/equipment,good,C6424636
2,own,1322,11,car,good,C6634320
3,free,1940,18,radio/TV,good,C2937590
2,own,3595,36,radio/TV,good,C1687840
3,free,1422,9,car,bad,C7820138
2,own,6742,30,radio/TV,good,C8320451
3,own,7814,24,car,good,C3699384
2,free,9277,24,car,good,C5194850
2,own,2181,30,car,good,C7013784
0,own,1098,18,radio/TV,good,C3498424
2,own,4057,24,furniture/equipment,bad,C2828186
2,own,795,12,education,bad,C6836313
2,own,2825,24,business,good,C2946656
2,own,15672,48,business,bad,C5832313
3,own,6614,36,car,good,C5021211
2,rent,7824,28,car,good,C4123367
3,own,2442,27,business,good,C4627891
2,own,1829,15,radio/TV,good,C1637018
1,own,2171,12,car,good,C7313985
2,own,5800,36,car,good,C8538874
2,own,1169,18,radio/TV,good,C6019950
3,own,8947,36,car,good,C2023273
3,rent,2606,21,radio/TV,good,C7419227
2,own,1592,12,furniture/equipment,good,C6850048
1,rent,2186,15,furniture/equipment,good,C5321084
2,own,4153,18,furniture/equipment,bad,C8527767
2,rent,2625,16,car,bad,C1734632
2,own,3485,20,car,good,C7237184
2,free,10477,36,car,good,C7623060
2,rent,1386,15,radio/TV,good,C2615479
3,own,1278,24,radio/TV,good,C5934246
3,rent,1107,12,radio/TV,good,C8114615
1,own,3763,21,car,good,C3541681
2,own,3711,36,education,good,C2842847
1,own,3594,15,car,good,C5830812
1,own,3195,9,car,good,C6838176
2,own,4454,36,radio/TV,good,C4329375
1,own,4736,24,furniture/equipment,bad,C2322771
2,own,2991,30,radio/TV,good,C8625278
2,own,2142,11,business,good,C6142975
2,rent,3161,24,business,bad,C3225264
3,own,18424,48,vacation/others,bad,C1140931
2,own,2848,10,car,good,C6533234
3,own,14896,6,car,bad,C8829051
2,own,2359,24,furniture/equipment,bad,C4326340
3,rent,3345,24,furniture/equipment,bad,C1892721
2,own,1817,18,furniture/equipment,good,C4622165
3,own,12749,48,radio/TV,good,C3721340
2,rent,1366,9,radio/TV,bad,C1629890
2,rent,2002,12,car,good,C1832447
2,own,6872,24,furniture/equipment,bad,C8812066
2,own,697,12,car,bad,C4511934
2,rent,1049,18,furniture/equipment,good,C7086529
2,free,10297,48,car,bad,C6234167
2,own,1867,30,radio/TV,good,C6916511
1,own,1344,12,car,good,C8362942
1,own,1747,24,furniture/equipment,good,C3266153
2,own,1670,9,radio/TV,bad,C5326514
2,own,1224,9,car,good,C8030121
2,own,522,12,radio/TV,good,C8712790
2,own,1498,12,radio/TV,good,C4714319
3,own,1919,30,radio/TV,bad,C1928171
1,own,745,9,radio/TV,bad,C9015043
3,rent,2063,6,radio/TV,good,C4042979
2,free,6288,60,education,bad,C2911442
3,own,6842,24,car,good,C4324313
3,own,3527,12,car,good,C2641912
1,own,1546,10,car,good,C3418242
2,own,929,24,furniture/equipment,good,C7310636
1,own,1455,4,car,good,C8336457
2,rent,1845,15,furniture/equipment,good,C2835273
2,own,8358,48,car,good,C8676874
2,free,3349,24,furniture/equipment,bad,C1017590
3,own,2859,12,car,good,C6728626
1,own,1533,18,furniture/equipment,bad,C5218825
2,own,3621,24,radio/TV,bad,C5230359
0,own,3590,18,business,good,C3532364
2,own,2145,36,business,bad,C3632916
2,rent,4113,24,car,bad,C8715566
3,own,10974,36,furniture/equipment,bad,C8319783
2,own,1893,12,car,good,C7040732
3,rent,1231,24,radio/TV,good,C1430317
1,own,3656,30,radio/TV,good,C8522288
1,own,1154,9,radio/TV,good,C4526257
1,own,4006,28,car,bad,C4039158
2,free,3069,24,furniture/equipment,good,C5223146
2,rent,1740,6,radio/TV,good,C4414849
2,own,2353,21,car,good,C1214628
2,own,3556,15,car,good,C6518773
2,own,2397,24,radio/TV,bad,C7535750
1,own,454,6,repairs,good,C2211092
2,own,1715,30,radio/TV,good,C9023730
1,own,2520,27,radio/TV,bad,C8033738
3,rent,3568,15,radio/TV,good,C6939359
2,rent,7166,42,radio/TV,good,C3337442
1,own,3939,11,car,good,C4226946
2,own,1514,15,repairs,good,C6710526
1,own,7393,24,car,good,C1534073
0,rent,1193,24,car,bad,C5011939
2,rent,7297,60,business,bad,C7710782
2,own,2831,30,radio/TV,good,C7214658
1,own,1258,24,radio/TV,good,C7810529
2,own,753,6,radio/TV,good,C4521117
2,own,2427,18,business,good,C3521067
1,own,2538,24,car,bad,C8624260
2,rent,1264,15,car,bad,C1220560
2,own,8386,30,furniture/equipment,bad,C2621781
3,rent,4844,48,business,bad,C7419338
3,own,2923,21,car,good,C1022588
2,own,8229,36,car,bad,C4219029
1,own,2028,24,furniture/equipment,good,C1213426
2,rent,1433,15,furniture/equipment,good,C8189825
2,own,6289,42,business,good,C8940921
2,own,1409,13,radio/TV,good,C8719550
3,free,6579,24,car,good,C2225729
1,own,1743,24,radio/TV,good,C7027782
1,own,3565,12,education,good,C3268884
1,own,1569,15,radio/TV,good,C5141690
1,rent,1936,18,radio/TV,good,C8037314
3,own,3959,36,furniture/equipment,good,C6434911
2,own,2390,12,car,good,C4143025
1,own,1736,12,furniture/equipment,good,C1739283
3,own,3857,30,car,good,C8727225
2,own,804,12,radio/TV,good,C1736476
2,free,1845,45,radio/TV,bad,C1416248
2,own,4576,45,car,good,C1116684
